VENUE,CATEGORY,TOP_LEVEL_CATEGORY,NEIGHBORHOOD,NEIGHBORHOOD_LAT,NEIGHBORHOOD_LNG
26,Land Of The Sweets,Concert Hall,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
27,Seattle Veterans Museum,History Museum,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
28,SAM Remix,Art Museum,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
29,The 5th Avenue Theatre,Theater,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
30,Seattle Symphony,Concert Hall,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
31,MPI lunch Red Lion,General Entertainment,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
32,Mortuary Tour,Historic Site,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
33,Culture Club,Public Art,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
34,The Studio,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
35,Seattle Squid,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
36,Pen & Ink Drawings By Patrick T. Kerr,Art Gallery,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
37,mozPong Antechambers,Arcade,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
38,MacTavish Statue,Outdoor Sculpture,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
39,TERA Online,Arcade,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
40,Theatersports,Comedy Club,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
41,Beardy Banjo Guy,Music Venue,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
42,Mirror by Doug Aitken,Museum,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
43,Seattle Lust Tour,General Entertainment,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
44,jim ryan clock,General Entertainment,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
45,The Foosball Table @POP,Arcade,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
46,Sherman Clay,Concert Hall,Arts & Entertainment,Central Business District,47.60974685,-122.33779322
0,Curious Kidstuff,School,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
1,Virago,Art Gallery,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
2,ArtsWest,Theater,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
3,The Escape Artist,Event Space,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
4,West Seattle Performing Arts,Dance Studio,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
5,Twilight Artist Collective,Art Gallery,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
6,Kathy's School Of Dance,Dance Studio,Arts & Entertainment,West Seattle Neighborhood,47.5611055,-122.38677905
